Unnamed: 0,Age,Sex,Job,Housing,Credit_amount,Duration,Purpose,Risk,Age_Group,Risk_int
94,54,male,2,own,1318,12,car,good,Senior,1
95,58,male,2,rent,15945,54,business,bad,Elder,0
96,61,female,2,own,2012,12,education,good,Elder,1
97,34,male,2,own,2622,18,business,good,Young Adults,1
98,36,male,2,own,2337,36,radio/TV,good,Young Adults,1
99,36,male,3,rent,7057,20,car,good,Young Adults,1
100,41,male,1,rent,1469,24,car,good,Senior,1
101,24,male,2,rent,2323,36,radio/TV,good,Young,1
102,24,female,2,own,932,6,radio/TV,good,Young,1
103,35,male,2,rent,1919,9,furniture/equipment,good,Young Adults,1
104,26,male,2,rent,2445,12,car,good,Young,1
105,39,male,3,own,11938,24,vacation/others,bad,Young Adults,0
106,39,male,3,own,6458,18,car,bad,Young Adults,0
107,32,male,2,own,6078,12,car,good,Young Adults,1
108,30,female,2,own,7721,24,furniture/equipment,good,Young Adults,1
109,35,male,2,own,1410,14,business,good,Young Adults,1
110,31,male,2,own,1449,6,business,good,Young Adults,1
111,23,female,2,rent,392,15,education,good,Young,1
112,28,male,1,rent,6260,18,car,good,Young,1
113,25,female,2,own,7855,36,car,bad,Young,0
114,35,male,2,own,1680,12,radio/TV,good,Young Adults,1
115,47,male,2,own,3578,48,radio/TV,good,Senior,1
116,30,female,3,own,7174,42,radio/TV,bad,Young Adults,0
117,27,female,2,rent,2132,10,furniture/equipment,good,Young,1
118,23,female,2,own,4281,33,furniture/equipment,bad,Young,0
119,36,male,3,own,2366,12,car,good,Young Adults,1
120,25,female,2,own,1835,21,radio/TV,bad,Young,0
121,41,female,3,rent,3868,24,car,good,Senior,1
122,24,male,1,rent,1768,12,furniture/equipment,good,Young,1
123,63,male,2,free,781,10,car,good,Elder,1
124,27,female,2,rent,1924,18,furniture/equipment,bad,Young,0
125,30,male,2,own,2121,12,car,good,Young Adults,1
126,40,male,1,own,701,12,radio/TV,good,Young Adults,1
127,30,male,2,own,639,12,repairs,bad,Young Adults,0
128,34,male,3,own,1860,12,car,good,Young Adults,1
129,29,female,2,own,3499,12,car,bad,Young,0
130,24,female,2,own,8487,48,car,good,Young,1
131,29,male,2,own,6887,36,education,bad,Young,0
132,27,male,1,own,2708,15,furniture/equipment,good,Young,1
133,47,male,2,free,1984,18,furniture/equipment,good,Senior,1
134,21,female,2,own,10144,60,radio/TV,good,Young,1
135,38,female,2,own,1240,12,radio/TV,good,Young Adults,1
136,27,male,2,own,8613,27,car,good,Young,1
137,66,male,1,own,766,12,radio/TV,bad,Elder,0
138,35,male,2,own,2728,15,radio/TV,good,Young Adults,1
139,44,female,1,rent,1881,12,radio/TV,good,Senior,1
140,27,male,0,own,709,6,car,good,Young,1
141,30,female,3,own,4795,36,radio/TV,good,Young Adults,1
142,27,male,3,own,3416,27,radio/TV,good,Young,1
143,22,male,2,own,2462,18,furniture/equipment,bad,Young,0
144,23,female,2,own,2288,21,furniture/equipment,good,Young,1
145,30,male,2,own,3566,48,business,good,Young Adults,1
146,39,female,2,own,860,6,car,good,Young Adults,1
147,51,female,2,own,682,12,car,good,Senior,1
148,28,male,2,own,5371,36,furniture/equipment,good,Young,1
149,46,male,2,own,1582,18,radio/TV,good,Senior,1
150,42,male,2,free,1346,6,radio/TV,good,Senior,1
151,38,male,2,own,1924,10,radio/TV,good,Young Adults,1
152,24,male,2,own,5848,36,radio/TV,good,Young,1
153,29,female,2,rent,7758,24,car,good,Young,1
154,36,male,3,rent,6967,24,business,good,Young Adults,1
155,20,female,2,rent,1282,12,furniture/equipment,bad,Young,0
156,48,male,2,own,1288,9,repairs,good,Senior,1
157,45,male,1,own,339,12,education,good,Senior,1
158,38,male,2,own,3512,24,car,good,Young Adults,1
159,34,male,1,own,1898,6,radio/TV,good,Young Adults,1
160,36,male,2,own,2872,24,radio/TV,good,Young Adults,1
161,30,female,2,own,1055,18,car,good,Young Adults,1
162,36,male,2,own,1262,15,domestic appliances,good,Young Adults,1
163,70,male,3,free,7308,10,car,good,Elder,1
164,36,male,2,own,909,36,car,good,Young Adults,1
165,32,male,2,own,2978,6,furniture/equipment,good,Young Adults,1
166,33,female,2,own,1131,18,furniture/equipment,bad,Young Adults,0
167,20,female,2,own,1577,11,furniture/equipment,good,Young,1
168,25,female,2,rent,3972,24,furniture/equipment,good,Young,1
169,31,male,2,own,1935,24,business,bad,Young Adults,0
170,33,male,2,rent,950,15,car,bad,Young Adults,0
171,26,female,2,own,763,12,furniture/equipment,good,Young,1
172,34,female,3,own,2064,24,furniture/equipment,bad,Young Adults,0
173,33,male,2,own,1414,8,radio/TV,good,Young Adults,1
174,26,male,2,own,3414,21,education,bad,Young,0
175,53,female,3,own,7485,30,car,bad,Senior,0
176,42,male,2,own,2577,12,furniture/equipment,good,Senior,1
177,52,male,2,own,338,6,radio/TV,good,Senior,1
178,31,male,3,rent,1963,12,radio/TV,good,Young Adults,1
179,65,male,2,own,571,21,car,good,Elder,1
180,28,male,2,own,9572,36,business,bad,Young,0
181,30,male,3,own,4455,36,business,bad,Young Adults,0
182,40,male,1,own,1647,21,car,bad,Young Adults,0
183,50,male,2,own,3777,24,furniture/equipment,good,Senior,1
184,36,male,2,own,884,18,car,bad,Young Adults,0
185,31,male,2,own,1360,15,radio/TV,good,Young Adults,1
186,74,female,3,free,5129,9,car,bad,Elder,0
187,68,male,0,free,1175,16,car,good,Elder,1
188,20,male,2,own,674,12,radio/TV,bad,Young,0
189,33,female,2,own,3244,18,furniture/equipment,good,Young Adults,1
190,54,male,3,own,4591,24,business,bad,Senior,0
191,34,male,1,free,3844,48,business,bad,Young Adults,0
192,36,male,2,own,3915,27,business,bad,Young Adults,0
193,29,male,2,rent,2108,6,radio/TV,good,Young,1
194,21,male,2,rent,3031,45,radio/TV,bad,Young,0
195,34,female,3,own,1501,9,education,bad,Young Adults,0
196,28,female,2,own,1382,6,radio/TV,good,Young,1
197,27,female,2,rent,951,12,furniture/equipment,bad,Young,0
198,36,male,2,free,2760,24,car,good,Young Adults,1
199,40,male,3,own,4297,18,furniture/equipment,bad,Young Adults,0
200,52,male,2,own,936,9,education,good,Senior,1
201,27,male,1,own,1168,12,car,good,Young,1
202,26,male,2,own,5117,27,business,good,Young,1
203,21,male,2,rent,902,12,education,bad,Young,0
204,38,male,1,own,1495,12,car,good,Young Adults,1
205,38,male,3,free,10623,30,car,good,Young Adults,1
206,43,male,2,own,1935,12,furniture/equipment,good,Senior,1
207,26,male,2,own,1424,12,domestic appliances,good,Young,1
208,21,male,1,own,6568,24,business,good,Young,1
209,55,male,2,own,1413,12,car,good,Senior,1
210,33,male,2,own,3074,9,radio/TV,good,Young Adults,1
211,45,female,1,own,3835,36,radio/TV,good,Senior,1
212,50,male,2,own,5293,27,business,bad,Senior,0
213,66,male,3,own,1908,30,business,bad,Elder,0
214,51,male,2,own,3342,36,radio/TV,good,Senior,1
215,39,female,1,own,932,6,education,good,Young Adults,1
216,31,male,2,own,3104,18,business,good,Young Adults,1
217,23,male,2,own,3913,36,radio/TV,good,Young,1
218,24,male,1,rent,3021,24,furniture/equipment,good,Young,1
219,64,female,2,own,1364,10,car,good,Elder,1
220,26,male,1,own,625,12,radio/TV,good,Young,1
221,23,female,2,rent,1200,12,education,good,Young,1
222,30,male,2,own,707,12,radio/TV,good,Young Adults,1
223,32,male,2,own,2978,24,business,good,Young Adults,1
224,30,male,2,own,4657,15,car,good,Young Adults,1
225,27,male,2,own,2613,36,repairs,good,Young,1
226,27,male,2,own,10961,48,radio/TV,bad,Young,0
227,53,male,3,free,7865,12,furniture/equipment,bad,Senior,0
228,22,male,2,own,1478,9,radio/TV,bad,Young,0
229,22,male,2,free,3149,24,furniture/equipment,good,Young,1
230,26,male,2,own,4210,36,radio/TV,bad,Young,0
231,51,male,1,free,2507,9,car,good,Senior,1
232,35,male,2,own,2141,12,radio/TV,good,Young Adults,1
233,25,male,1,own,866,18,radio/TV,good,Young,1
234,42,male,1,own,1544,4,radio/TV,good,Senior,1
235,30,male,3,own,1823,24,radio/TV,bad,Young Adults,0
236,23,male,0,own,14555,6,car,bad,Young,0
237,61,male,1,rent,2767,21,business,bad,Elder,0
238,35,female,2,own,1291,12,radio/TV,good,Young Adults,1
239,39,male,2,own,2522,30,radio/TV,good,Young Adults,1
240,29,female,2,own,915,24,car,bad,Young,0
241,51,male,2,own,1595,6,radio/TV,good,Senior,1
242,24,male,2,free,4605,48,car,bad,Young,0
243,27,female,2,own,1185,12,business,good,Young,1
244,35,female,1,own,3447,12,education,good,Young Adults,1
245,25,male,2,own,1258,24,business,good,Young,1
246,52,male,2,own,717,12,radio/TV,good,Senior,1
247,35,male,2,rent,1204,6,car,good,Young Adults,1
248,26,male,2,own,1925,24,furniture/equipment,good,Young,1
249,22,female,2,rent,433,18,radio/TV,bad,Young,0
250,39,female,1,own,666,6,car,good,Young Adults,1
251,46,female,1,own,2251,12,furniture/equipment,good,Senior,1
252,24,female,2,own,2150,30,car,bad,Young,0
253,35,male,2,own,4151,24,furniture/equipment,good,Young Adults,1
254,24,male,2,own,2030,9,furniture/equipment,good,Young,1
255,27,male,1,own,7418,60,radio/TV,good,Young,1
256,35,male,1,own,2684,24,radio/TV,good,Young Adults,1
257,29,male,2,free,2149,12,radio/TV,bad,Young,0
258,23,female,2,own,3812,15,car,good,Young,1
259,57,female,1,own,1154,11,radio/TV,good,Elder,1
260,27,male,2,own,1657,12,furniture/equipment,good,Young,1
261,55,female,2,own,1603,24,radio/TV,good,Senior,1
262,36,male,3,free,5302,18,car,good,Young Adults,1
263,57,female,1,free,2748,12,education,good,Elder,1
264,32,male,1,own,1231,10,car,good,Young Adults,1
265,37,male,2,own,802,15,radio/TV,bad,Young Adults,0
266,36,male,2,own,6304,36,business,good,Young Adults,1
267,38,female,2,own,1533,24,radio/TV,good,Young Adults,1
268,45,male,3,own,8978,14,car,bad,Senior,0
269,25,male,2,own,999,24,radio/TV,good,Young,1
270,32,male,2,own,2662,18,car,good,Young Adults,1
271,37,female,2,rent,1402,12,furniture/equipment,good,Young Adults,1
272,36,male,3,free,12169,48,car,good,Young Adults,1
273,28,male,2,own,3060,48,radio/TV,bad,Young,0
274,34,male,1,own,11998,30,repairs,bad,Young Adults,0
275,32,male,2,own,2697,9,radio/TV,good,Young Adults,1
276,26,female,2,own,2404,18,radio/TV,good,Young,1
277,49,male,1,own,1262,12,furniture/equipment,good,Senior,1
278,32,female,2,own,4611,6,furniture/equipment,bad,Young Adults,0
279,29,male,3,rent,1901,24,radio/TV,good,Young,1
280,23,male,2,rent,3368,15,car,good,Young,1
281,50,male,2,own,1574,12,furniture/equipment,good,Senior,1
282,49,male,1,own,1445,18,radio/TV,good,Senior,1
283,63,male,2,own,1520,15,furniture/equipment,good,Elder,1
284,37,male,2,own,3878,24,car,good,Young Adults,1
285,35,female,1,own,10722,47,car,good,Young Adults,1
286,26,male,2,own,4788,48,car,good,Young,1
287,31,male,3,free,7582,48,vacation/others,good,Young Adults,1
288,49,female,2,own,1092,12,radio/TV,good,Senior,1
289,48,male,2,own,1024,24,radio/TV,bad,Senior,0
290,26,male,2,own,1076,12,business,good,Young,1
291,28,male,3,rent,9398,36,car,bad,Young,0
292,44,female,3,free,6419,24,car,good,Senior,1
293,56,male,2,free,4796,42,car,good,Elder,1
294,46,male,3,own,7629,48,business,good,Senior,1
295,26,female,2,own,9960,48,furniture/equipment,bad,Young,0
296,20,female,2,rent,4675,12,car,good,Young,1
297,45,male,1,own,1287,10,car,good,Senior,1
298,43,male,2,own,2515,18,furniture/equipment,good,Senior,1
299,32,male,2,own,2745,21,furniture/equipment,good,Young Adults,1
300,54,female,0,own,672,6,car,good,Senior,1
301,42,female,2,own,3804,36,radio/TV,bad,Senior,0
302,37,male,1,own,1344,24,car,bad,Young Adults,0
303,49,male,2,own,1038,10,car,good,Senior,1
304,44,male,2,free,10127,48,car,bad,Senior,0
305,33,male,2,own,1543,6,furniture/equipment,good,Young Adults,1
306,24,female,1,rent,4811,30,car,good,Young,1
307,33,male,1,own,727,12,radio/TV,bad,Young Adults,0
308,24,female,2,own,1237,8,furniture/equipment,bad,Young,0
309,22,male,1,rent,276,9,car,good,Young,1
310,40,male,0,free,5381,48,vacation/others,good,Young Adults,1
311,25,male,2,own,5511,24,furniture/equipment,good,Young,1
312,26,female,2,own,3749,24,furniture/equipment,good,Young,1
313,25,male,1,own,685,12,car,bad,Young,0
314,29,male,1,own,1494,4,car,good,Young,1
315,31,male,2,own,2746,36,furniture/equipment,bad,Young Adults,0
316,38,male,1,own,708,12,furniture/equipment,good,Young Adults,1
317,48,female,1,own,4351,24,furniture/equipment,good,Senior,1
318,32,male,2,own,701,12,education,good,Young Adults,1
319,27,female,1,own,3643,15,furniture/equipment,good,Young,1
320,28,male,3,own,4249,30,car,bad,Young,0
321,32,male,2,own,1938,24,radio/TV,bad,Young Adults,0
322,34,male,3,free,2910,24,car,good,Young Adults,1
323,28,male,2,own,2659,18,furniture/equipment,good,Young,1
324,36,female,2,own,1028,18,car,good,Young Adults,1
325,39,male,1,own,3398,8,car,good,Young Adults,1
326,49,male,2,rent,5801,12,furniture/equipment,good,Senior,1
327,34,female,2,own,1525,24,car,good,Young Adults,1
328,31,male,2,own,4473,36,radio/TV,good,Young Adults,1
329,28,male,2,own,1068,6,radio/TV,good,Young,1
330,75,male,3,free,6615,24,car,good,Elder,1
331,30,female,2,own,1864,18,education,bad,Young Adults,0
332,24,female,3,own,7408,60,car,bad,Young,0
333,24,female,1,rent,11590,48,car,bad,Young,0
334,23,male,2,rent,4110,24,furniture/equipment,bad,Young,0
335,44,male,3,rent,3384,6,furniture/equipment,bad,Senior,0
336,23,female,1,own,2101,13,radio/TV,good,Young,1
337,24,female,2,rent,1275,15,domestic appliances,bad,Young,0
338,28,male,2,own,4169,24,furniture/equipment,good,Young,1
339,31,male,1,own,1521,10,furniture/equipment,good,Young Adults,1
340,24,female,2,free,5743,24,education,good,Young,1
341,26,female,1,rent,3599,21,furniture/equipment,good,Young,1
342,25,male,2,rent,3213,18,radio/TV,good,Young,1
343,33,male,3,own,4439,18,business,good,Young Adults,1
344,37,male,1,own,3949,10,car,good,Young Adults,1
345,43,female,1,own,1459,15,radio/TV,good,Senior,1
346,23,male,2,own,882,13,radio/TV,good,Young,1
347,23,female,0,rent,3758,24,radio/TV,good,Young,1
348,34,male,1,own,1743,6,business,good,Young Adults,1
349,32,male,2,free,1136,9,education,bad,Young Adults,0
350,23,female,2,rent,1236,9,domestic appliances,good,Young,1
351,29,female,2,own,959,9,furniture/equipment,bad,Young,0
352,38,male,3,own,3229,18,car,good,Young Adults,1
353,28,male,2,rent,6199,12,radio/TV,bad,Young,0
354,46,male,2,free,727,10,education,good,Senior,1
355,23,male,1,own,1246,24,car,bad,Young,0
356,49,male,2,own,2331,12,radio/TV,good,Senior,1
357,26,male,3,own,4463,36,radio/TV,bad,Young,0
358,28,male,2,own,776,12,radio/TV,good,Young,1
359,23,female,2,rent,2406,30,furniture/equipment,bad,Young,0
360,61,male,2,free,1239,18,education,good,Elder,1
361,37,male,3,own,3399,12,radio/TV,good,Young Adults,1
362,36,female,2,own,2247,12,car,good,Young Adults,1
363,21,male,2,rent,1766,6,furniture/equipment,good,Young,1
364,25,male,0,own,2473,18,furniture/equipment,bad,Young,0
365,36,male,2,own,1542,12,business,good,Young Adults,1
366,27,male,2,own,3850,18,car,good,Young,1
367,22,female,2,rent,3650,18,furniture/equipment,good,Young,1
368,42,male,2,own,3446,36,furniture/equipment,bad,Senior,0
369,40,female,2,rent,3001,18,furniture/equipment,good,Young Adults,1
370,36,male,2,own,3079,36,car,good,Young Adults,1
371,33,male,2,own,6070,18,radio/TV,good,Young Adults,1
372,23,female,2,rent,2146,10,furniture/equipment,good,Young,1
373,63,male,3,free,13756,60,car,good,Elder,1
374,60,female,3,free,14782,60,vacation/others,bad,Elder,0
375,37,female,2,rent,7685,48,business,bad,Young Adults,0
376,34,male,2,own,2320,18,radio/TV,good,Young Adults,1
377,36,male,2,free,846,7,radio/TV,good,Young Adults,1
378,57,male,3,free,14318,36,car,bad,Elder,0
379,52,female,1,own,362,6,car,good,Senior,1
380,39,male,2,own,2212,20,furniture/equipment,good,Young Adults,1
381,38,female,3,free,12976,18,car,bad,Young Adults,0
382,25,female,2,rent,1283,22,car,good,Young,1
383,26,male,2,own,1330,12,car,good,Young,1
384,26,male,1,own,4272,30,business,good,Young,1
385,25,female,2,own,2238,18,radio/TV,good,Young,1
386,21,female,2,rent,1126,18,radio/TV,good,Young,1
387,40,male,3,own,7374,18,furniture/equipment,good,Young Adults,1
388,27,male,2,own,2326,15,business,good,Young,1
389,27,female,2,own,1449,9,business,good,Young,1
390,30,male,3,own,1820,18,car,good,Young Adults,1
391,19,female,1,rent,983,12,furniture/equipment,good,Young,1
392,39,male,3,free,3249,36,car,good,Young Adults,1
393,31,female,2,own,1957,6,radio/TV,good,Young Adults,1
394,31,male,3,own,2406,9,furniture/equipment,good,Young Adults,1
395,32,male,2,rent,11760,39,education,good,Young Adults,1
396,55,female,3,free,2578,12,furniture/equipment,good,Senior,1
397,46,male,2,own,2348,36,furniture/equipment,good,Senior,1
398,46,male,2,rent,1223,12,car,bad,Senior,0
399,43,female,1,own,1516,24,radio/TV,good,Senior,1
400,39,male,2,own,1473,18,radio/TV,good,Young Adults,1
401,28,male,2,own,1887,18,business,good,Young,1
402,27,male,2,own,8648,24,business,bad,Young,0
403,27,male,1,own,802,14,car,good,Young,1
404,43,male,2,own,2899,18,car,good,Senior,1
405,22,male,2,own,2039,24,radio/TV,bad,Young,0
406,43,male,2,own,2197,24,car,good,Senior,1
407,27,male,2,own,1053,15,radio/TV,good,Young,1
408,26,male,3,own,3235,24,radio/TV,good,Young,1
409,28,male,2,own,939,12,car,bad,Young,0
410,20,female,2,own,1967,24,radio/TV,good,Young,1
411,35,male,3,own,7253,33,car,good,Young Adults,1
412,42,male,3,own,2292,12,business,bad,Senior,0
413,40,male,1,rent,1597,10,car,good,Young Adults,1
414,35,female,2,own,1381,24,car,bad,Young Adults,0
415,35,male,2,own,5842,36,car,good,Young Adults,1
416,33,male,1,own,2579,12,car,bad,Young Adults,0
417,23,female,2,rent,8471,18,education,good,Young,1
418,31,female,3,own,2782,21,car,good,Young Adults,1
419,33,female,2,own,1042,18,car,bad,Young Adults,0
420,20,female,2,rent,3186,15,car,good,Young,1
421,30,male,2,own,2028,12,car,good,Young Adults,1
422,47,male,1,own,958,12,car,good,Senior,1
423,34,male,3,own,1591,21,furniture/equipment,good,Young Adults,1
424,25,female,2,own,2762,12,furniture/equipment,bad,Young,0
425,21,male,2,rent,2779,18,car,good,Young,1
426,29,male,2,own,2743,28,radio/TV,good,Young,1
427,46,male,2,own,1149,18,radio/TV,good,Senior,1
428,20,male,2,own,1313,9,furniture/equipment,good,Young,1
429,55,female,0,free,1190,18,repairs,bad,Senior,0
430,74,male,1,own,3448,5,business,good,Elder,1
431,29,male,3,own,11328,24,vacation/others,bad,Young,0
432,36,male,3,free,1872,6,furniture/equipment,good,Young Adults,1
433,33,male,2,own,2058,24,repairs,good,Young Adults,1
434,25,male,2,own,2136,9,furniture/equipment,good,Young,1
435,25,male,2,own,1484,12,radio/TV,bad,Young,0
436,23,male,1,rent,660,6,repairs,good,Young,1
437,37,female,2,own,1287,24,car,good,Young Adults,1
438,65,male,0,own,3394,42,repairs,good,Elder,1
439,26,female,0,own,609,12,business,bad,Young,0
440,39,male,3,own,1884,12,car,good,Young Adults,1
441,30,female,2,own,1620,12,furniture/equipment,good,Young Adults,1
442,29,male,2,own,2629,20,vacation/others,good,Young,1
443,41,male,1,own,719,12,education,bad,Senior,0
444,30,female,3,own,5096,48,furniture/equipment,bad,Young Adults,0
445,41,female,1,rent,1244,9,education,good,Senior,1
446,34,female,2,own,1842,36,car,bad,Young Adults,0
447,35,male,2,own,2576,7,radio/TV,good,Young Adults,1
448,55,female,3,own,1424,12,furniture/equipment,good,Senior,1
449,61,male,2,own,1512,15,repairs,bad,Elder,0
450,30,male,3,own,11054,36,car,good,Young Adults,1
451,29,female,2,own,518,6,radio/TV,good,Young,1
452,34,male,2,own,2759,12,furniture/equipment,good,Young Adults,1
453,35,male,3,own,2670,24,car,good,Young Adults,1
454,31,male,2,own,4817,24,car,bad,Young Adults,0
455,29,female,3,own,2679,24,car,good,Young,1
456,36,male,2,rent,3905,11,car,good,Young Adults,1
457,35,male,2,free,3386,12,car,bad,Young Adults,0
458,27,female,2,own,343,6,domestic appliances,good,Young,1
459,32,male,2,own,4594,18,radio/TV,good,Young Adults,1
460,37,male,2,own,3620,36,furniture/equipment,good,Young Adults,1
461,36,male,2,own,1721,15,car,good,Young Adults,1
462,34,female,3,rent,3017,12,furniture/equipment,good,Young Adults,1
463,38,male,2,own,754,12,education,good,Young Adults,1
464,34,male,2,own,1950,18,business,good,Young Adults,1
465,63,male,2,own,2924,24,car,good,Elder,1
466,29,female,1,rent,1659,24,radio/TV,bad,Young,0
467,32,male,2,own,7238,48,radio/TV,good,Young Adults,1
468,26,female,2,own,2764,33,business,good,Young,1
469,35,male,1,own,4679,24,car,good,Young Adults,1
470,22,male,2,rent,3092,24,radio/TV,bad,Young,0
471,23,female,2,own,448,6,education,bad,Young,0
472,28,male,1,own,654,9,car,bad,Young,0
473,36,male,3,own,1238,6,education,good,Young Adults,1
474,33,male,2,own,1245,18,radio/TV,bad,Young Adults,0
475,26,female,2,rent,3114,18,furniture/equipment,bad,Young,0
476,24,male,2,own,2569,39,car,good,Young,1
477,25,male,2,own,5152,24,radio/TV,good,Young,1
478,39,male,1,own,1037,12,business,good,Young Adults,1
479,44,male,2,own,1478,15,furniture/equipment,good,Senior,1
480,23,female,1,own,3573,12,radio/TV,good,Young,1
481,26,male,2,own,1201,24,car,good,Young,1
482,57,female,2,rent,3622,30,furniture/equipment,good,Elder,1
483,30,female,2,own,960,15,furniture/equipment,good,Young Adults,1
484,44,male,2,own,1163,12,car,good,Senior,1
485,47,male,3,own,1209,6,car,bad,Senior,0
486,52,male,2,own,3077,12,radio/TV,good,Senior,1
487,62,female,2,free,3757,24,car,good,Elder,1
488,35,male,1,rent,1418,10,car,good,Young Adults,1
489,26,male,2,rent,3518,6,car,good,Young,1
490,26,male,2,own,1934,12,radio/TV,good,Young,1
491,42,female,3,free,8318,27,business,bad,Senior,0
492,27,female,2,own,1237,6,radio/TV,good,Young,1
